Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Draw-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-16 17:23:17,2020-09-16 17:30:46,7m - 28.766s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Draw/FDR-Draw-Voucher-Date-Validation,Chrome 85.0.4183.102,,,2020-09-16 17:23:18,2020-09-16 17:26:34,3m - 15.836s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:23:18,2020-09-16 17:23:18,0.006s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:23:18,2020-09-16 17:23:18,0.003s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:23:18,2020-09-16 17:23:35,17.655s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-16 17:23:35,2020-09-16 17:23:36,0.044s,PASSED
"voucherHeaderData = [""drawDate"":drawDate, ""payDate"":payDate, ""programType"":programType, ""invoiceType"":invoiceType, ""fundCode"":fundCode, ""supplier"":supplier, ... ]",Chrome 85.0.4183.102,,,2020-09-16 17:23:36,2020-09-16 17:23:36,0.001s,PASSED
Uifunctions.createVoucherHeader(voucherHeaderData),Chrome 85.0.4183.102,,,2020-09-16 17:23:36,2020-09-16 17:24:31,55.041s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/VoucherHeader/reviewButton""), 5)",Chrome 85.0.4183.102,,,2020-09-16 17:24:31,2020-09-16 17:24:32,1.541s,PASSED
"voucherDrawDate = getText(findTestObject(""FDR-VoucherEntry/VoucherHeader/drawDate""))",Chrome 85.0.4183.102,,,2020-09-16 17:24:32,2020-09-16 17:24:34,1.435s,PASSED
Uifunctions.createInvoiceLine(1),Chrome 85.0.4183.102,,,2020-09-16 17:24:34,2020-09-16 17:24:49,14.977s,PASSED
"waitForElementClickable(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""), 5)",Chrome 85.0.4183.102,,,2020-09-16 17:24:49,2020-09-16 17:24:51,2.663s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""))",Chrome 85.0.4183.102,,,2020-09-16 17:24:51,2020-09-16 17:24:54,2.328s,PASSED
"waitForElementClickable(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceAddlineButton""), 5)",Chrome 85.0.4183.102,,,2020-09-16 17:24:54,2020-09-16 17:24:55,1.626s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceAddlineButton""))",Chrome 85.0.4183.102,,,2020-09-16 17:24:55,2020-09-16 17:24:58,2.291s,PASSED
"Uifunctions.createDistributionLines(1, ""Voucher/FDR-DL"")",Chrome 85.0.4183.102,,,2020-09-16 17:24:58,2020-09-16 17:26:20,1m - 22.687s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:26:26,2020-09-16 17:26:26,0.011s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:26:26,2020-09-16 17:26:26,0.012s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:26:26,2020-09-16 17:26:27,0.763s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-16 17:26:27,2020-09-16 17:26:27,0.006s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Draw/FDR-Draw-Receipts-Date-Validation,Chrome 85.0.4183.102,,,2020-09-16 17:27:08,2020-09-16 17:28:56,1m - 47.983s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:27:09,2020-09-16 17:27:09,0.010s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:27:09,2020-09-16 17:27:09,0.006s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-16 17:27:09,2020-09-16 17:27:28,19.601s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-16 17:27:28,2020-09-16 17:27:28,0.014s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 3)",Chrome 85.0.4183.102,,,2020-09-16 17:27:32,2020-09-16 17:27:37,4.554s,PASSED
newDepositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.102,,,2020-09-16 17:27:37,2020-09-16 17:27:37,0.002s,PASSED
"editors.createReceipt(Drawdate, Paydate, newDepositId, Receiptnotes, Remittance, Controller)",Chrome 85.0.4183.102,,,2020-09-16 17:27:37,2020-09-16 17:27:56,19.301s,PASSED
"editors.createReceiptline(ReceiptID, SupplierID, DepositDate)",Chrome 85.0.4183.102,,,2020-09-16 17:27:56,2020-09-16 17:28:09,12.866s,PASSED
d = Date().plus(1),Chrome 85.0.4183.102,,,2020-09-16 17:28:09,2020-09-16 17:28:09,0.004s,PASSED
dd = Date().plus(2),Chrome 85.0.4183.102,,,2020-09-16 17:28:09,2020-09-16 17:28:09,0.002s,PASSED
"servicedatefrom = d.format(""MM/dd/yyyy"")",Chrome 85.0.4183.102,,,2020-09-16 17:28:09,2020-09-16 17:28:09,0.002s,PASSED
"servicedateto = dd.format(""MM/dd/yyyy"")",Chrome 85.0.4183.102,,,2020-09-16 17:28:09,2020-09-16 17:28:09,0.003s,PASSED
"originalwarrantdate = dd.format(""MM/dd/yyyy"")",Chrome 85.0.4183.102,,,2020-09-16 17:28:09,2020-09-16 17:28:09,0.002s,PASSED
"verifyElementClickable(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/arrow_Down_Receipts""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 17:28:09,2020-09-16 17:28:10,0.677s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/arrow_Down_Receipts""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 17:28:10,2020-09-16 17:28:10,0.754s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Checkline/View/deposit_Control_Amount""), 10)",Chrome 85.0.4183.102,,,2020-09-16 17:28:10,2020-09-16 17:28:11,0.953s,PASSED
"Receipttotalbefaddwith$ = getText(findTestObject(""FDR-Receipt/FDR-Receipt-Checkline/View/deposit_Control_Amount""))",Chrome 85.0.4183.102,,,2020-09-16 17:28:11,2020-09-16 17:28:12,0.647s,PASSED
Receipttotalbefaddwithout$ = Receipttotalbefaddwith$.substring(1),Chrome 85.0.4183.102,,,2020-09-16 17:28:12,2020-09-16 17:28:12,0.004s,PASSED
"ReceipttotalbefaddwithoutComma = Receipttotalbefaddwithout$.replaceAll("","", """")",Chrome 85.0.4183.102,,,2020-09-16 17:28:12,2020-09-16 17:28:12,0.011s,PASSED
Receipttotalbefreceiptlineadd = Float.parseFloat(ReceipttotalbefaddwithoutComma),Chrome 85.0.4183.102,,,2020-09-16 17:28:12,2020-09-16 17:28:12,0.021s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/button_Add-Invoiceline""), 10)",Chrome 85.0.4183.102,,,2020-09-16 17:28:12,2020-09-16 17:28:13,0.616s,PASSED
"scrollToElement(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/button_Add-Invoiceline""), 3)",Chrome 85.0.4183.102,,,2020-09-16 17:28:13,2020-09-16 17:28:13,0.662s,PASSED
"verifyElementClickable(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/button_Add-Invoiceline""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 17:28:13,2020-09-16 17:28:14,0.614s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/button_Add-Invoiceline""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 17:28:14,2020-09-16 17:28:15,0.751s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/invoice_Searchfield""), 10)",Chrome 85.0.4183.102,,,2020-09-16 17:28:15,2020-09-16 17:28:16,0.957s,PASSED
"sendKeys(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/invoice_Searchfield""), searchfield)",Chrome 85.0.4183.102,,,2020-09-16 17:28:16,2020-09-16 17:28:16,0.757s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/button_Add_invoicemanually""))",Chrome 85.0.4183.102,,,2020-09-16 17:28:16,2020-09-16 17:28:18,1.068s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/input_Service date (from)""), 10)",Chrome 85.0.4183.102,,,2020-09-16 17:28:18,2020-09-16 17:28:18,0.650s,PASSED
"sendKeys(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/input_Service date (from)""), servicedatefrom)",Chrome 85.0.4183.102,,,2020-09-16 17:28:18,2020-09-16 17:28:19,0.982s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/input_Service date (to)""), 10)",Chrome 85.0.4183.102,,,2020-09-16 17:28:19,2020-09-16 17:28:20,0.636s,PASSED
"sendKeys(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/input_Service date (to)""), servicedateto)",Chrome 85.0.4183.102,,,2020-09-16 17:28:20,2020-09-16 17:28:21,0.952s,PASSED
